Issue title,HM5_ISSUE_DESC
DCRNPD_0080_KTRM_VA_VE_P0(PO)_0001,Crankcase phantom to be updated
DCRNPD_0086_K06A_General_P2(P2)_0001,Design Updation as per tooling feasibility
DCRNPD_0252_ABZA_GENERAL_P2(P2)_0097,QR code(laser Marking)requirment with size of 8x8 required for tracibility of part by scanning of part by barcode scanner( automisation of process)
DCRNPD_0269_ABWC_GENERAL_P2(P2)_0002,DRAWING TO BE CORRECTED AS PER SUGGESTIONS AND MANUFACTURING FEASIBILITY
DCRNPD_0271_AANN_GENERAL_EA(E1)_0062,31100-ABW-8010 REPLACED BY 31100-ABW-J010- FOR OBD2 PHASE2
DCRNPD_0252_ABZA_GENERAL_P2(P2)_0088,DCR NPD system testing
DCRNPD_0271_AANN_GENERAL_P0(PO)_0005,"1) Dim 3.8 -0.1 is not controlled , 2) Component weight 17 gm not as per actual part . Actual part weight is 20 gm  3) Tolerance is not available on Dia 8.1 & 10.1  ,"
DCRNPD_0271_AANN_GENERAL_P2(P2)_0082,Roundness & Cylindricity of Pin bore revised from 0.03 mm to 0.003 mm. Drawing needs to be updated.
DCRNPD_0297_AAWN_GENERAL_P2(P2)_0001,"In below mentioned OBD 2 models, it is required to have E20 compatible ""CAP COMP FUEL FILLER"" to meet the regulatory requirement. 1. ACLF 2. AAGY 3. AACV 4. ACKJ 5. ADJC 6. ACKS 7. ACKE 8. ACKF 9. ADJE 10. ACLW"
DCRNPD_0294_AACL_GENERAL_P2(P2)_0002,Front fork top bolt surface treatment updation require for asthetic improvment.
DCRNPD_0246_AAWJ_GENERAL_P2(P2)_0003,Seat Phantom to be interchanged with Export Body Phantom Seat Assy.
DCRNPD_0248_AANV_GENERAL_PP(PP)_0010,1. SURFACE TREATMENT SPEC. TO BE CORRECTED FROM MFeZn8-HS. TO MFeZn8-DHS AS PER HMCS-D-0006 2. UNSPECIFIED TOLERANCE TO BE SPECIFIED 3. ALT. MATERIAL S40~50C AS PER JIS 4051 TO BE SPECIFIED.  4. O.D DIMN. TOLRANCE BE CHANGE FROM DIA 30+0.05 TO  DIA 30±0.1 (REF DRAWING 42311-ACD-0000)
DCRNPD_0220_AABM_GENERAL_P0(PO)_0088,Bkt cowl 5241-ACJ-0000 weld not feasible fouling with weld bead
TOLERANCE UPDATION,1. CYLINDERCITY TO BE CHANGED FROM 0.005 TO 0.1 2. Rz 12.5 CAN NOT BE CHECKED SO ONLY M/C SYMBOL TO BE PROVIDED
DCRNPD_0106_AATA_GENERAL_P2(P2)_0056,Etching to be removed from Reflector fixing area on RR fender and dimensions to be given in the drg.
DCRNPD_0202_AAZA_GENERAL_P2(P2)_0093,GPP REQUIREMENT.
DCRNPD_0063_KWHF_General_PP(PP)_0010,Part is not Manufacturable as per current drawing specifications
DCRNPD_0063_KWHF_General_PP(PP)_0001,Drawing to be updated as shown in proposed solution
DCRNPD_0062_KWAH_General_PP(PP)_0001,"AS PER MAKER PROPOSAL, DRAIN HOLE TO BE ADDED IN FRONT STRUCTURE TO AVAOID PAINT ISSUES."
DCRNPD_0067_KTCJ_General_E2(PP1-1)_0003,Design change required for the ease of tool maufacturing in the following parts. 1) Cover handle top(53237-AAW-D000)  2)Rear Fender (80106-AAW-D000). here i am asigning single DCR for both the parts of AAWP model
DCRNPD_0073_KVEG_General_D3(Pre-Die-Go)_0040,"Part Design is updated as per the tooling feasibility, moldflow & etc."
DCRNPD_0070_KVNF_General_P2(P2)_0016,"In lock nut drawing for RAAA/ACDA model, Part#: 90235-ACD-0000 , across flat spec is 27 -0.2/-0.4 whereas in market Raw material is available in the spec 27 0/-0.3 which is similar to the part 90134-ACD-0000 used in ACAA model which has same function as 90235-ACD-0000 in RAAA."
DCRNPD_0065_KVHH_General_P2(P2)_0002,"ACG Tyco connector is not available, Lead time 4 months, Cost is veru hight"
DCRNPD_0063_KWHF_TestFailure_E2(PP1-1)_0025,Brake panel rear part number 43000-AAF-0300 (black) is in BOM. It is to be corrected to silver
DCRNPD_0068_KSTK_General_P2(P2)_0004,"I am attaching all the body parts whose moulds are developed by AGI Bawal II (Tooling Division) and have got some changes as per tooling feasibility in a single DCR, to save everyone's time. HEADLIGHT STAY (61422-ACAA-0000), COWL UNDER R/L (64320/30-ACAA-0000), PLATE BOTTOM PILLION (77300-ACAA-0000-20),  PLATE BOTTOM RIDER (77100-ACAA-0000-20), REAR FENDER A/B/C (80100/10/20-ACAA-0000)."
DESIGN UPDATION AS PER TOOLING FEASIBILITY,Handle Lock angle wrt to plate stopper not clear in drg.
DCR RAISED FOR TOOLING FEASIBILITY,DCR raised for following parts 53281-ABW-L000 53282-ABW-L000
2D -3D MISMATCH,DRAWING TO BE REVISED AS PER SUGGESTIONS
DCRNPD_0070_KVNF_General_P2(P2)_0015,"""Stay Front No Plate"" 64311-ACP-0000 Weld nut delete request also delete below parts  94101-05000 WASHER PLAIN 5 MM & 93500-05010-1A SCREW PAN 5X10"
DCRNPD_0070_KVNF_General_P2(P2)_0005,One Way Valve deletion in HF Deluxe(Leap Idea)
DCRNPD_0073_KVEG_General_D3(Pre-Die-Go)_0052,Height 0.01 ~ 0.03 & Radius height 1 mm is not controlable
DCRNPD_0063_KWHF_General_EC(PP2-1)_0013,"1. ASSY NO/ NAME TO BE SPECIFIED 2. HARDNESS SPEC TO BE CHANGED FROM HRC 32~38 TO HRC 32~39 AS PER 10.9 GRADE 3. CHAMFER ANGLE / RADIUS ON THREAD END AS MENTION C2x5 IS NOT CLEAR  4. A/C TO BE 1.13 MIN OF TIMES A/F 5. SEALENT SPECIFICATIONS LIKE VISCOSITY, COATING, THICKNESS & MELTING TEMP. TO BE SPECIFIED 6. TORQUE VALUE TO BE SPECIFIED 7. SEALANT USE ONE TIME OR MANY TIMES TO BE SPECIFIED 8. SEALENT FLAME THICKNESS TO BE SPECIFIED 9. STRENGTH MARK TO BE SPECIFIED"
DCRNPD_0070_KVNF_General_E2(PP1-1)_0020,Rattling issue in ACAA Tail Lamp Cover & Rear Cowl due to Engine rev up.
DCRNPD_0251_AAFF_GENERAL_EB(E2)_0248,1 ALTERNATE MATERIAL CEW-1 TO BE SPECIFIED FOR COLLAR  2. ALTERNATE MATERAIL CRCS-TYPE D TO BE SPECIFIED FOR WASHER AS PER MANUFACTURING FEASIBILITY
DCRNPD_0065_KVHH_General_EC(PP2-1)_0006,"Emitec had previously shared the dwg which was of proto stage,(sample dwg).Now Emitec has shared the final dwg. Refer to the attached pdf in ""additional attachments"" section of this NPD DCR for the detailed information."
DCRNPD_0073_KVEG_General_E3(PP1–2)_0097,PART TO BE MODIFY AS PER ACTUAL 3D PART
DCRNPD_0304_AAGN_GENERAL_PP(PP)_0002,ACZA Cover Eye brow DFM feedback updation in 3D model
WAVINESS (G) VALUE  & STANDARD SPEC TO BE REVISED,In existing drawing pulser wire color at soldering point is not mention_Required as per NMC feedback
DCRNPD_0319_AAKL_GENERAL_P0(PO)_0003,"1. STD TO BE SPECIFIED ISO 281 2. STD TO BE SPECIFIED ISO 76 3. MATERIAL SIOC TO BE SPECIFIED 4. MATERIAL SPCC-SD TO BE SPECIFIED 5. LINING X, Y, OR LARGE VIEW TO BE SPECIFIED 6. BALL SIZE TO BE SPECIFIED 7. SPECIAL TREATMENT DETAILS TO BE SPECIFIED 8. APPLICATION TO BE SPECIFIED-OK 9. HOUSING DEATILS WITH MATERIAL TO BE SPECIFIED. "
DCRNPD_0065_KVHH_General_P2(P2)_0005,Two nos drain hole addition in Step RL P double for improvment in surface treatment quality by better drainage of PT chemical.
DCRNPD_0063_KWHF_General_EB(E2)_0024,"AS PER PAST EXPERIENCE, WE GENERALLY DON'T MENTION TORQUE VALUE IN HANDLE BAR ASSY DWG. NOW WE NEED TO CLOSE THE SUPPLIER REQUIREMENT."
DCRNPD_0073_KVEG_General_D3(Pre-Die-Go)_0024,Film protector is not applicable for MSB and MAS color variant due to use of Base model part code.
