Issue title,HM5_ISSUE_DESC
ENGINE ABNORMAL MECHANICAL NOISE OBSERVED.,ACWA_Fleet_M1_Engine Abnormal mechanical noise observed during hot condition.
REAR LOWER CROSS BRACKET FOUND LOOSE & MOUNTING BOLT NOT FITTED PROPERLY DUE TO BOTH SIDES DOWEL LENGTH IS EXCESSIVE.,ACWA_M1_2011_PAVE_250_kms_Rear lower cross bracket found loose & mounting bolt not fitted properly due to both sides dowel length is excessive.
TREE CLAMP HOLE IS MISSING FOR LICENSE PLATE HARNESS,"Due to absence of holes on frame, tree clamps are not mounted on its position."
REAR BRAKE OIL OBSERVED BLACKISH.,ACWA_M1_2012_Fleet_10631_KMS_Rear brake oil observed blackish.
REAR WINKER COVER FALLING DOWN DURING ASSY.,Rear winker cover falling Down during assy.
REAR BRAKE HOSE SLEEVE FOUND DAMAGED.,ACWA_M1_2012_Fleet_10631_KMS_Rear brake hose sleeve found damaged.
RADIATOR SHROUD MTG NUT CLIP MISS - ACTUAL PART NOT AVAILABLE- IN M1 VEH EMBOSSED NUT CLIP USED- SHOULD BE WITH WELDED NUT,Radiator Shroud Mtg Nut clip miss - Actual part Not available- in M1 veh embossed nut clip used- should be with welded nut
PILLION SEAT FITMENT ISSUE OBSERVED & SEAT NOT FITTED PROPERLY.,ACWA_M1_2012_Fleet_0_kms_Pillion seat fitment issue observed & seat not fitted properly.
LIGHT LEAKAGES WERE OBSERVED FROM THE TOP SECTION OF HEADLIGHT.,Light leakages were observed from the top section of headlight (refer attached image).
REAR WHEEL DISC SIDE BEARING JURK ISSUE .,ACWA_Fleet_M1_KMS_8414_Rear wheel disc side bearing jurk issue observed. (Make:NBC)
GEAR SHIFTING EFFORTS OBSERVED HIGH AND ALSO STUCKS WHILE OPERATING.,"Gear stuck while operation and operating efforts observed high ranging from 5.2kg to 7.6kgf at different stages of gear shifting, as compared to other premium models like ACAA, ACYB etc, where the efforts in all stages of gear shifting is less than 5.0 kgf."
NOT ABLE TO GUIDE LICENSE PLATE LIGHT WIRE WITH HUGGER STAY,Not Able to Guide license Plate Light Wire With Hugger Stay
POWER DROP ISSUE.,ACWA_Fleet_vehicle _kms_10300_Power drop issue observed in the Performance track when vehicle speed goes to above 100kmph.
WATER ENTRY OBSERVED INSIDE THE HEADLIGHT COUPLER,"ACWA_M1_2015_Special Test_200_kms_Water entry observed inside the headlight coupler. Paste colour changed from green to pink. Issue observed in rain simulation static,dynamic, water wash & water wade test,refer reports."
"ACWA_M1_2012_FLEET_1097_KMS_POWER DROP ISSUE OBSERVED ON THE VEHICLE, SPEED NOT GOING ABOVE 80-90KMPH","ACWA_M1_2012_Fleet_1097_kms_Power drop issue observed on the vehicle, speed not going above 80-90kmph & RPM not going above 8000 in the 5th & 6th gear."
ECU BRANCH TREE CLIP GIVEN IN HARNESS BUT HOLE NOT PROVIDED IN FRAME,ECU Branch Tree Clip Given in Harness But Hole Not Provided in Frame
"CANISTER INLET HOSE FOUND VERY LOOSE, EASILY REMOVED.","ACWA_M1_2012_Fleet_4028_KMS_Canister inlet hose found very loose, easily removed. Same issue observed on all vehicles."
UNEVEN GAP BETWEEN FUEL TANK COVER AND SIDE COVER,Uneven gap between fuel tank cover and side cover
CLUTCH FORCE OBSERVED HIGH AT HIGHER TEMPERATURE IN ENGINE,ACWA_M1_2012_Fleet_4870_KMS_Clutch force observed high at higher temperature in engine(Engine cum km-3027)
BATTERY IS FOULING WITH THE FRAME BODY ON THE FRONT SIDE.,Battery is fouling with the frame body on the front side. It may damage the battery while riding on the rough road.
MIL CONTINUOUSLY GLOWING ISSUE OBSERVED.,ACWA_M1_2011_PAVE_1420_MIL continuously glowing issue observed.(refer FC image)
AS PER DESIGN ABS KIT SUPPOSED TO BE BOSCH - BUT IN ACTUAL MOCK/M1 VEH - CONTI USED,As per design ABS Kit Supposed to be BOSCH - but in actual Mock/M1 Veh - Conti used
GROMMET COMING OUT DURING ASSEMBLY OF REAR COWL,Grommet coming out during assembly of rear cowl
ENGINE KILL SWITCH OPERATING EFFORT IS NOT MEETING DESIGN SPECIFICATION REQUIREMENT.,Engine Kill switch operating effort during ON to OFF condition is observed to be 0.38kgf against the design requirement of 0.7 +/- 0.21 kgf.
DENTS OBSERVED ON FRONT FENDER OF ABVB PP1 ALL VEHICLES @0 KMS,DENTS OBSERVED ON FRONT FENDER OF ABVB PP1 ALL VEHICLES @0 KMS   SAME ISSUE WAS REPORTED DURING ABVA PP1 VEHICLE TESTING
DASHBOARD VISIBILITY,There was glare observed on the speedometer which is hindering the content visibility and the visibility gets better when the mounting angle of the speedometer is rotated in the upward direction by 5 degrees.
BATTERY ACCESSABILITY IS DIFFICULT AND TOOLS ARE NOT PROVIDED IN THE TOOLKIT TO REMOVE THESE PARTS.,"The USB cover, Fuel tank cover & fuel tank are to be removed before accessing the battery.However tools are not provided in the toolkit to remove these parts."
CLUTCH LEVER RUBBER BOOT FOUND CUT & CLUTCH OPERATION OBSERVED HARD.,ACWA_M1_2012_Fleet_2120_Clutch lever rubber boot found cut & clutch operation observed hard.
RELAY HARNESS NEAR BATTERY BOX.,Relay harness wire gets pinched between ignition coil & battery box.
SPEEDO BASE COVER LUG FOUND DAMAGED DURING FITMENT,Speedo base cover lug found damaged during fitment
PILLION SEAT CUSHION WAS FOUND DAMAGED,ACWA_M1_Fleet_2012_Fleet_0_kms_Pillion seat cushion was found damaged
FRONT BRAKE HOSE TOUCHING WITH RADIATOR COVER DURING ROTATION OF  RH SIDE,Front Brake Hose Touching With Radiator cover During Rotation of  RH side
FUEL TANK COVER GAP NG ( MULTIPAL LOCATION),Fuel tank cover Gap NG ( Multipal Location)
METER ASSY MTG BOLTS FOUND RUSTY AND LOOSE.,ACWA_M1_2012_Fleet_10631_KMS_Meter assy mtg bolts found rusty and loose.
WATER ENTRY/MIST FORMATION OBSERVED IN HEADLIGHT.,"ACWA_M1_2015_Special Test_200_kms_1. Water entry/mist formation observed in Headlight. 2. Functional abnormality observed, dark spots observed on road. Issue observed in Rain simulation static, dynamic & water wade test, Refer reports."
GAP BETWEEN TAIL LIGHT COVER AND UNIT TAILLIGHT,"As per design specification gap between tail light cover and unit tail light should be less than 1.0mm. However, the observed gap is 2.2mm. Refer gap no. 37 in the attched image for better clarification."
RADIATOR RH DOWNSIDE RUBBER GROMMET FOUND CUT.,ACWA_M1_2012_Fleet_0_kms_ Radiator RH downside rubber grommet found cut.
REAR FLANGE ASSEMBLY BEARING STUCKING ISSUE.,ACWA_Fleet_M1_KMS_8414_Rear flange assembly bearing stucking issue observed.(Make:NBC)
LENGTH OF PILLION FOOTREST FROM FRONT AXLE,Length of pillion footrest from front axle is observed to be 1169.7 mm against the design specification of 1191.8 mm (+/-10mm).
PILLION SEAT IS EASILY GETTING TAMPERED,"Pillion seat lock can be accessed using a screw driver or similar kind of thin rod between pillion seat and pillion front cover (Refer attached image). As a result, Helmet Hook & Tool-kit are also getting tampered as provision for it is provided below pillion seat. Kindly refer Report No. VV_RG_2023_08899 for better clarification."
"OPERATING EFFORTS OF SWITCHES OF ""SWITCH ASSEMBLY WINKER"" IS NOT MEETING DESIGN SPECIFICATION REQUIREMENTS.",1) Operating efforts of high beam and low beam switch is observed to be 0.24 kgf and 0.27 kgf respectively against the design specification requirement of 0.6 +/- 0.18kgf. 2) Operating effort of Horn switch is observed to be 0.32kgf against the spec limit of 0.6 +/- 0.18 kgf. 3) Winker switch operating effort (LH-on) is observed to be 1.04kgf against the design specification of 0.7 +/- 0.21 kgf.
FUEL PUMP CONNECTOR IS NOT PROPER LOCKING.,ACWA_M1_2012_Fleet_2578_KMS_ Fuel pump connector is not proper locking because fuel tank base plate restrict to connector locking. refer picture.
"4 NOS OF STAY WIDE SIDE OF FRAME, DURING HANDLING CHANCES TO SATY BEND.","4 Nos of stay wide side Of Frame, During handling chances to Saty Bend."
GAP BETWEEN HANDLE HOLDER LOWER AND HANDLE HOLDER UPPER,"As per design specification gap between handle holder upper and handle holder lower should be less than 0.5mm. However, the observed gaps are 1.3 mm and 1.5 mm on the LH & RH-side respectively. Refer gap no. 75 in the attched image for better clarification."
CLUTCH CABLE BRACKET IS NOT OK AND CLUTCH'S INNER CABLE IS RUBBING WITH THE METALLIC SLEEVE.,"1. Clutch cable bracket is not OK. As a result, it feels inconvenience to adjust the free play as receiver clutch cable bracket is not OK & also it is observed that the threads on the cable is getting damaged while adjusting 2. Clutch cable inner cable rubbing with a metallic sleeve in both condition static & while operating, which may cause early deterioration of the cable."
"RUBBING MARKS OBSERVED ON THE BATTERY, BATTERY COVER & BATTERY CUSHION FOUND DAMAGE.","ACWA_M1_2011_PAVE_2500_kms_Rubbing marks observed on the battery, battery cover & battery cushion found damage."
CRACK OBSERVED ON LHS SIDE COVER & FOUND DAMAGE.,ACWA_M1_2012_Fleet_10631_KMS_Crack observed on LHS side cover & found damage.
WELDED NUTS REQUIRED ON INSULATOR CLAMP FOR EASY ASSEMBLY,Welded nuts required on insulator clamp for easy assembly
OIL PRESSURE SENSOR(OPS) COVER FOUND DAMAGE.,ACWA_M1_2011_PAVE_2500_kms_Oil pressure sensor(OPS) cover found damage.
AIR CLEANER BOLT FOULING WITH AIR CLEANER INLET HOSE,Air cleaner bolt fouling with air cleaner inlet hose
LESS GAP BETWEEN  RADIATOR & BRAKE HOSE CLAMP,Less gap between  Radiator & Brake hose clamp
REAR HUGGER FENDER FOUND BROKEN NEAR BOTTOM MOUNTING AREA.,ACWA_M1_2012_Fleet_6900_KMS_Rear hugger fender found broken near bottom mounting area.
FRONT BRAKE HOSE TOUCHING WITH RADIATOR SHROUD,Front Brake Hose touching With Radiator Shroud
COOLANT RESERVOIR'S OVER FLOW TUBE FOULING,Coolant reservoir's over flow tube is fouling with leg guard mounting stay.
ACWA_M1_2012_FLEET_558_KMS_DURING RUNNING VIBRATION OBSERVED ON FUEL TANK,ACWA_M1_2012_Fleet_558_kms_During running vibration observed on fuel tank cover when vehicle engine RPM goes above 4000.
MIL CONTINUOUSLY GLOWING ISSUE OBSERVED,ACWA_M1_2012_Fleet_1777_MIL continuously glowing issue observed.(refer FC image)
HUGGER FENDER MOUNTING BOLT IS NOT WELDED ON THE FRAME,"Hugger fender's mounting are mounted through 3 bolts. However, 1 out of 3 nuts responsible for hugger fender's mounting are not welded on the frame. Consequently, it is not convient to open or to tight that bolt."
"USB CHARGER ASSY DIFFICULT WITH STAY USB , USB CABLE TIE RESTRICT THE INSERTION OF USB WIRE.","USB Charger Assy difficult with Stay USB , USB Cable tie restrict the Insertion of usb wire."
O2 SENSOR GUIDING WINDOW MORE IN BOTH SIDE ENGINE HANGER BOTH SIDE,O2 Sensor guiding Window More in Both Side Engine Hanger Both Side
8 X 10 MM AND 10 X 12 MM OPEN SPANNERS ARE NOT AVAILABLE IN THE TOOLKIT.,"8 x 10 mm and 10 x 12 mm open spanners are not available in the toolkit to perform following operations: 1. Throttle play adjustment, 2. Clutch play Adjustment,  3. chain slackness adjustment, 4. Brake oil top-up, 5. Engine Oil drain, 6. Mirror Adjustment and 7. hand wrench spark plug operation."
REVERSE FITMENT OF BANK ANGLE SENSOR ASSEMBLY IS POSSIBLE.,There is a possibility of wrong assembly for the Banking angle sensor mounting. Sensor can be fitted  in reverse direction (with UP marking not legible from user's side).
MUFFLER CENTRE MOUNTING GROMMET WAS FOUND DAMAGED,ACWA_M1_2012_Fleet_0_kms_Muffler centre mounting grommet was found damaged
DEAD VOLUME IS NOT MEETING ITS DESIGN SPECIFICATIONS.,The minimum Volume required to create 3bar pressure in the fuel line to the injector by the fuel pump (Dead Volume_1) is observed to be 0.50 litres against the design specification of 0.4 litres (Max.).
PURGE VALVE HARNESS,Purge valve connector harness length is more.
BOTTOMING ISSUE OBSERVED ON FRONT SUSPENSION SAMPLE NO-3.(CUM KM:230),ACWA_M1_2011_PAVE_2339_kms_Bottoming issue observed on front suspension sample no-3.(Cum km:230)
COOLANT LEAKAGE ISSUE OBSERVED.,ACWA_Fleet_M1_Kms_1403_Coolant leakage issue observed from coolant reservoir outlet pipe
GEAR PEDAL STROKE FELT MORE.,Gear shifter lever stroke feels excess in ACWA while shifting gears than Benchmark vehicle by approx. 10mm. Recommend to reduce it to level of Mule / KTM
FUEL TANK COVER MOUTING REAR L/R HOLE MISMATCH WRT FRAME  BODY,Fuel Tank Cover Mouting Rear L/R Hole mismatch wrt Frame  Body
RH SIDE CHAIN ADJUSTER STUCKING ISSUE OBSERVED ON INSIDE THE SWING ARM.,ACWA_M1_2011_PAVE_2500_kms_RH side chain adjuster stucking issue observed on inside the swing arm. refer image
BOX BATTERY STAY FOULING WITH NOISE SUPPRESOR,Box battery stay fouling with noise suppresor
UPSIDE CHECK NUT & LOCK PLATE FOUND RUSTY.,ACWA_M1_2011_PAVE_2500_kms_Upside check nut & Lock plate found rusty.
"BATTERY BOX GUIDE FOR POSITIVE, NEGATIVE TERMINALS WIRE BROKEN/FLIMSY","Battery box guide for positive, negative terminals wire broken/Flimsy"
REALY COUPLER INSERTION HARD WITH BAS BRKT,Realy Coupler Insertion hard With Bas brkt
RUBBING MARK OBSERVED ON LHS SIDE COVER.,ACWA_M1_2012_Fleet_10631_KMS_Rubbing mark observed on LHS side cover.
SIDE STAND SPRING BOTTOM EYE FOUND EXPANDED.,ACWA_M1_2012_Fleet_0_kms_Side stand spring bottom eye found expanded.
FRONT BRAKE HOSE TOUCHING WITH SPEEDO DURING ROTATION OF  LH SIDE,Front Brake Hose Touching With Speedo During Rotation of  LH side
FUEL INJECTOR OUTER SHELL FOUND DAMAGED,ACWA_M1_2012_Fleet_16934_KM_Fuel injector outer shell found damaged. (3rd Engine cumulative km:12059)
SPEEDO LOWER COWER FOULING WITH FRONT COWL- LEADING TO SCRATCH/DENT,Speedo lower cower fouling with front cowl- leading to scratch/dent
ALLEN FASTNERS CAN BE CHANGED TO NORMAL BOLTS FOR COST SAVING,Air Cleaner Fastner can be chnaged - Cost Saving Idea
FUEL PUMP COUPLER BRANCH LENGHT SHORT,Fuel pump coupler branch lenght short
BOX BATTERY POSITIVE TERMINAL LUG DIA SMALL- CABLE NOT ABLE TO FIT,Box Battery positive terminal lug dia small- cable not able to fit
PILLION SEAT LOCK LUG & BOTTOM PLATE FOUND BROKEN DAMAGE.,ACWA_M1_2012_Fleet_10631_KMS_Pillion seat lock lug & bottom plate found broken damage.
RH SIDE WINKER CABLE SLEEVE GETTING OFF.,ACWA_M1_2012_Fleet_10631_KMS_RH side winker cable sleeve getting off.
HANDLE BAR KNURLING FOUND DAMAGE & PAINT PEEL OFF OBSERVED.,ACWA_M1_2011_PAVE_2500_kms_Handle bar knurling found damage & paint peel off observed.
RUBBING MARK OBSERVED ON INNER COWL,ACWA_M1_2012_Fleet_10631_KMS_Rubbing mark observed on inner cowl
SET MAG IS NOT ACCESSIBLE FROM SERVICE POV,Set Mag is not accessible from service pov
FUEL TANK DEFORMANTATION OBSERVED DUE TO HIGH PRESSURE & TEMPERATURE INSIDE FUEL TANK,ACWA_M1_2012_Fleet_1840_Fuel tank deformantation observed due to high pressure & temperature inside fuel tank. Due to deformation in Fuel tank a gap was observed in between Fuel tank cover & Fuel cap.
NO TOOL IS AVAILABLE IN THE TOOLKIT TO OPERATE THE SPECIAL TOOL PROVIDED IN THE TOOLKIT TO REMOVE THE SPARK PLUG.,"1) Spark plug can be removed using the special spark plug tool provided in the toolkit. However, no tool is available in the toolkit to operate this special spark plug tool. 2) When operated through 12mm open spanner, the welding of holding nut of spark plug tool got broken during opening of spark plug."
SECONDARY O2 SENSOR WIRE ROUTING,"1) For secondary O2 sensor coupler, tree clamp for mouting on radiator bracket is missing. 2) Secondary O2 sensor harness is rubbing with frame and is in stress condition."
WATER DROPLETS OBSERVED ON BCM UNIT.,ACWA_M1_2011_PAVE_2500_kms_Water droplets observed on BCM unit.
RADIATOR HOSE FOULING WITH ENGINE HANGER,Radiator Hose Fouling With Engine Hanger
MIL & ABS SYMBOL CONTINUES GLOWING ISSUE.,ACWA_M1_2012_Fleet_129_kms_MIL & ABS symbol continues glowing on cluster after 20 Kms of running.
CAT CON OBSERVED DAMAGE ( RAPTURED).,ACWA_M1_2012_Fleet_14956_KM_Cat Con observed damage ( Raptured). Refer Image.(3rd Engine cumulative km:10200)
RELAY AND FUSE SHOULED BE EASY ACCESSIBLE,Relay and fuse shouled be easy accessible
RUBBING MARKS OBSERVED ON FUEL TANK NEAR TO FRONT SIDE MTG,ACWA_M1_2011Pave Test_PAVE_2500_kms_Rubbing marks observed on fuel tank near to front side MTG due to rubbing with frame bracket.
SCORING MARKS OBSERVED ON RIDER SEAT BASE & SEAT CUSHION FOUND TORN OUT.,ACWA_M1_2011_PAVE_2500_kms_Scoring marks observed on rider seat base & seat cushion found torn out.
RUBBING MARKS OBSERVED ON BATTERY DUE TO HT COIL RUBBING WITH BATTERY.,ACWA_M1_2012_Fleet_10631_KMS_Rubbing marks observed on battery due to HT coil rubbing with battery.
COOLANT LEVEL NOT VISIBLE FROM OUTSIDE- ONLY CAP VISIBLE,Coolant level not visible from outside- only cap visible
PIN SPANNER ACCESSABILITY FOR ADJUSTMENT IS POOR.,"Pin spanner tool is available for Preload adjustment. However, tool accessibility for adjustment is poor. It is fouling with chain case cover & pillion foot peg mounting stay during adjustment resulting in inablitily to perform the desired adjustment in preload."
SCORING MARKS OBSERVED ON REAR WHEEL DISC PLATE.,ACWA_M1_2011_PAVE_2500_kms_Scoring marks observed on rear wheel disc plate.
SCORING MARKS OBSERVED ON WHEEL SPACERS.,ACWA_M1_2012_Fleet_10631_KMS_ Scoring marks observed on wheel spacers.
FUSE PULLER PROVIDED IN THE TOOLKIT IS UNABLE TO REMOVE THE FUSES FROM FUSE BOX.,"Fuse puller is provided in the toolkit. However, the fuses are not getting removed with the given tool rendering the tool useless. Recommend improving the gripping engagement of the tool. Also, hard plastic material is recommended for proper holding to remove the fuse."
GAP BETWEEN TANK COVER TO FUEL TANK CAP,"As per design specification, Gap between Tank cover to fuel tank cap should be less than 1.5mm. However, uneven gap is observed around the fuel cap and maximum gap is observed to be 1.8mm."
ENGINE OIL LEAKAGE OBSERVED FROM OIL FILTER COVER BOLT.,ACWA_M1_2012_Fleet_7221_KMS_ Engine oil leakage observed from oil filter cover bolt.(Engine cum km-2346)
OIL LEAKAGE OBSERVED FROM HECU BENJO BOLT.,ACWA_M1_2012_Fleet_208_kms_Oil leakage observed from HECU benjo bolt.
LESS GAP BETWEEN FRONT FENDER & FRONT DISC AT RH SIDE.,Gap is very less. Need to be reviewed and provide gap as necessary.
ACWA_M1_2012_FLEET_14956_KM_FUEL PUMP PR. OBSEREVD HIGH.,ACWA_M1_2012_Fleet_14956_KM_Fuel pump pr. Obserevd high.
FRONT BOTH SIDE CUSHION OBSERVED SEEPAGE .,"ACWA_M1_2011_PAVE_2500_kms_Front both side cushion observed seepage as highlighted in the picture. (Sample No-3,cum km-391)"
GAP BETWEEN REAR DISC MOUNTING PLATE TO REAR BRAKE CALIPER AND SENSOR RING REAR WHEEL TO WSS,"1) Gap Between Rear disc moting plate to rear brake caliper is observed to be 1.5mm against the design specification of 3.45mm (+/- 1mm) and,  2) Gap between Sensor Ring rear wheel to WSS is observed to be 0.05mm against the design specification of 0.7 mm."
BOX BATTERY INTERFERENCE WITH FRAME BODY WHILE ASSEMBLY,Box battery interference with frame body while assembly
MUFFLER CENTRE GROMMET FOUND CUT.,ACWA_M1_2011_PAVE_2500_kms_Muffler centre grommet found cut.
RR UNIT THIMBLE SHOULD COME AS A SINGLE TERMINAL,RR Unit thimble should come as a single terminal
"REAR NUMBER PLATE FOULING WITH NUMBER PLATE MTG STAY, RUBBING MARKS OBSERVED ON THE NUMBER PLATE.","ACWA_M1_2011_PAVE_2500_kms_Rear number plate fouling with number plate MTG stay, rubbing marks observed on the number plate."
GAP BETWEEN REAR HUGGER FENDER TO WINKER STAY IN FULL BUMP CONDITION.,Gap between Rear hugger fender to winker stay in full bump condition is observed to be LH = 72.7mm RH = 70.6 mm against the design specification of 80 mm (+/- 5 mm).
WATER ENTRY OBSERVED IN TAIL LIGHT,"""ACWA_M1_2015_Special Test_200_kms_1. Water entry observed in tail light.2. Functional abnormality observed.poor visibility and low intesity.Issue observed in rain simulation static test, Refer report."""
HARD JURK FEELING OBSERVED ON RIDER & MORE ON PILLON SEAT DURING PAVE RUNNING,ACWA_M1_2011_PAVE_250_kms_Hard jurk feeling observed on rider & more on pillon seat during PAVE running.Vehicle running in second slot.
RUBBING MARKS OBSERVED ON HEAD LAMP BECAUSE OF FOULING WITH FRONT COWL.,ACWA_M1_2011_PAVE_2500_kms_Rubbing marks observed on head lamp because of fouling with front cowl.
REAR BRAKE DISC TEMPERATURE GOES ABOVE 260 DEGREES. & DURING BRAKING - 360DEG & ABOVE,ACWA_M1_2012_Fleet_2834_KMS_ 1.During running the rear brake disc temperature goes above 260 degrees. & during Braking - 360deg & Above 2. Poor braking observed above 70-80kmph speed. Stopping distance is High. 3. Brake bite & lock issue observed after brake applying at 30-40kmph speed.
"RADIATOR MTG BOTTOM GROMMET CUT, SAME GROMMET REPLACED AT THE 0KM.","ACWA_M1_2011_PAVE_492_kms_ Radiator mtg bottom grommet cut, same grommet replaced at the 0km."
ACWA_M1_2012_FLEET_10631_KMS_HUGGER FENDER STAY OBSERVED RUSTY.,ACWA_M1_2012_Fleet_10631_KMS_Hugger fender stay observed rusty.
FUEL TANK DRAIN HOSE INSETION NOT POSSIBLE,Fuel tank Drain hose insetion Not Possible
ACWA TAIL LIGHT COVER MOUNTING BROKEN IN VIBRATION TEST,ACWA tail light cover mounting broken in vibration test
FOURTH MOUNTING OF ENGINE - COLLAR NOT ABLE TO INSERT IN BETWEEN FRAME & ENGINE - WIDTH LESS,Fourth Mounting of Engine - Collar not able to insert in between Frame & Engine - Width less
FUEL TANK MTG. BRACKET FOUND RUSTY,ACWA_M1_2012_Fleet_10631_KMS_Fuel tank mtg. bracket found rusty
DUST & OIL ENTRY OBSERVED IN FILTER CASE.,ACWA_M1_2012_Fleet_10631_KMS_Dust & Oil entry observed in filter case.
RUBBING MARKS OBSERVED ON TAIL LAMP GLASS DUE TO FOULING WITH TAIL GATE COVER.,ACWA_M1_2011_PAVE_2500_kms_Rubbing marks observed on tail lamp glass due to fouling with tail gate cover.
RUBBING MARKS OBSERVED ON FUEL TANK COVER,ACWA_M1_2012_Fleet_10631_KMS_Rubbing marks observed on fuel tank cover & RH side MTG grommet found damaged.
BOTH SIDE PANEL RUBBER GROMMETS FOUND CUT.,ACWA_M1_2011_PAVE_0_kms_Both side panel rubber grommets found cut.
GAP BETWEEN FRONT TANK COVER AND TANK SHROUD,"As per design specification gap between front tank cover and tank shroud should be less than 0.8mm. However, the observed gap is 1.0mm and 2.1mm on the LH & RH side respectively. Refer gap no. 18 in the attched image for better clarification."
SAREE GUARD STAY FOUND RUSTY.,ACWA_M1_2011_PAVE_2500_kms_Saree guard stay found rusty.
GAP BETWEEN FRONT COWL AND LIGHT ASSY HEAD,Gap between front cowl and light assembly head is observed to be 4.0mm against the design specification of 1.0mm (+/- 0.7mm). Refer gap No. 6 in the attached image.
REAR WHEEL FLANGE BEARING STUCKING ISSUE OBSERVED.,ACWA_M1_2012_Fleet_1695_Rear wheel flange bearing stucking issue observed.
CLAMPER FR BRAKE HOSE 45155-ACW-0000 - FR BRAKE HOSE CLAMP BOTH HOLE ALIGNMENT MISMATCHING. FITMENT ISSUE WILL BE OBS. DURING VE,Clamper FR Brake hose 45155-ACW-0000 - Fr brake hose clamp both hole alignment mismatching. Fitment issue will be obs. during veh assy in MP.
PILLION FRONT COVER HAS BROKEN DURING THE PILLION SET FITMENT.,ACWA_M1_2011_PAVE_163_kms_Pillion front cover has broken during the pillion set fitment.(Pillion front cover material strength is very low)
FRONT COWL GAP WITH HEADLIGHT UNEVEN AS COMPARED TO LH & RH,"During sub-assy of Headlight with FR cowl, uneven gap observed on L/R side. Feature required to control the gap within acceptable range"
RIDER SEAT LOCK DURING OPENING OPERATION OBSERVED HARD,ACWA_M1_Fleet_2012_Fleet_0_kms_Rider seat lock during opening operation observed hard.
RUBBING MARK OBSEREVD ON AIR FILTER ASSY.,ACWA_M1_2012_Fleet_10631_KMS_Rubbing mark obserevd on air filter assy.
FUEL PUMP COUPLER CONNECTION HAND APPROCH NOT GIVEN,Fuel Pump Coupler Connection Hand Approch Not Given
FR FORK DIA. 56 -0.08 OBS. UPTO 55.87 & BFB DIA 56+0.1 OBS 56.11. BUT DESIGN CLEARANCE IS 00MM AT 56 DIA OF BOTH FORK & BFB. ASS,Fr Fork dia. 56 -0.08 obs. upto 55.87 & BFB dia 56+0.1 obs 56.11. But design clearance is 00mm at 56 dia of both Fork & BFB. Assy fitment will be obs.. If bore dia. collapsed in BFB then 100% interference fit will be obs.
DURING RUNNING NOISE OBSERVED ON THE HANDLE BAR ASSEMBLY,ACWA_M1_2011_PAVE_2030_KMS_During running noise observed on the handle bar assembly.(feel like that check nut loosened)
WIRE LENGTH SHORT,License light connecter wire length is short
FOR BASH PLATE MOUNTING L & R - MTG PROVIDED ON BOLTED STAY WHICH SUPPOSED TO BE ASSEMBLED ON CRANK CASE COVER - WILL DAMAGE DUR,For Bash Plate mounting L & R - Mtg provided on bolted stay which supposed to be assembled on Crank case cover - Will damage during Engine handling at various station
RADIATOR BOTTOM MTG BKT NOT MATCHING WITH FRAME BKT,Radiator bottom Mtg bkt not matching with Frame Bkt
MUFFLER REAR MTG GROMMET FOUND DAMAGED.,ACWA_M1_2012_Fleet_16934_KM_Muffler rear mtg grommet found damaged.
IGNITION COIL SURFACE TEMPERATURE FOUND MORE(70.3) AGAINST THE SPEC VALUE(60).,ACWA_M1_UID_2007_Thermal test_High speed & city cycle CIT track_Ignition coil surface temperature found more(70.3) against the spec value(60). Refer attached screenshot for NG points of thermal Trial/refer thermal test released report.
TAIL LAMP FOUND DAMAGED.,ACWA_M1_2012_Fleet_0_kms_Tail lamp found damaged.
BRAKE HOSE & THROTTLE CABLE FOULING WITH THE VIN NUMBER ON HEAD PIPE WILL LEAD TO RUB-OFF IN FIELD,Brake hose & Throttle cable fouling with the VIN number on head pipe will lead to Rub-off in field
CAP OPENING EFFORT FEELS HIGH AND LENGTH OF USB CABLE FROM CHARGER TO ADAPTER IS TOO LONG.,"1. Cap opening effort of USB port feels high as compared to other premium models like ACYB, ABZM, ABWW, ACAA etc. Also, Sometimes cap gets stucked into the locking collar. 2. Length of USB cable from charger to adapter is too long."
FUEL LEAKAGE OBSERVED FROM FUEL TANK CAP.,ACWA_M1_2015_Special Test_269_kms_During EVAPO test in 90% fuel condition fuel leakage observed from fuel tank cap while vehicle fall down for 5 minutes in both LH & RH side.
LICENCE LAMP WIRE ROUTING WAS FOUND IMPROPER & WIRE LENGTH WAS OBSERVED EXCESSIVE.,ACWA_M1_Fleet_2012_Fleet_0_kms_ Licence lamp wire routing was found improper & wire length was observed excessive.
"BATTERY POSITIVE TERMINAL RUBBER BOOT, NOT PROPERLY FITTED.","ACWA_M1_2012_Fleet_0_kms_Battery positive terminal rubber boot, not properly fitted."
CHAIN SLIDER CUT OBSERVED  AND GROVE FORMED .CHAIN RUBBING OBSERVED INSIDE FORMED GROOVED .,"""ACWA_Fleet_M1_KMS_7500_Drive chain touching with Sprocket cover rubbing marks observed on chain & Sprocket Cover.Chain slider cut observed  and grove formed .chain rubbing observed inside formed grooved . slider Cut & formed groove @7500 kms"""
CARBON ACCUMULATION OBSERVED INSIDE THROTTLE BODY,ACWA_M1_2012_Fleet_16934_KM_Carbon accumulation observed inside throttle body.  (3rd Engine cumulative km:12059)
